cust_id,company1,city,type
CRIDGE,CRIDGE CENTRE (CPS)08107 7385,VICTORIA,TOWN
CRISP,"CRISP FISH LTD, THE",VICTORIA,TOWN
CROFTO,CROFTON FOODS,CROFTON,UPISLAND
CROFHO,CROFTON HOTEL,CROFTON,UPISLAND
CROOKED,CROOKED GOOSE(dba),VICTORIA,TOWN
CROSRO,CROSSROADS PUB AND RESTAURANT dba,SAYWARD,FREIGHT
CROWN,CROWN AND ANCHOR ROADHOUSE PUB,QUALICUM BEACH,FREIGHT
CROWNI,CROWN ISLE GOLF CLUB,COURTENAY,FREIGHT
CROWNM,CROWN MANSION BOUTIQUE HOTEL & VILLAS,QUALICUM BEACH,FREIGHT
CUCKOO,CUCKOO TRATTORIA PIZZERIA,COOMBS,FREIGHT
CULACC,CULACCINO LTD,POWELL RIVER,FREIGHT
CUMBER,CUMBERLAND HEALTH CTR (CPS) 08107  7338,CUMBERLAND,FREIGHT
CLAKCON,CUMBERLAND LAKE PARK CONCESSION,COURTENAY,FREIGHT
CUPOFJO,CUP OF JOE,VICTORIA,TOWN
CUREART,CURE ARTISAN MEAT AND CHEESE,COWICHAN BAY,UPISLAND
CURRYP,CURRY POINT (MAYFAIR)dba,VICTORIA,TOWN
DATANG,DA TANG SEAFOOD RESTAURANT dba,NANAIMO,UPISLAND
DADS,DAD'S SOUPS AND SANGY'S dba,VICTORIA,TOWN
DAGWOO,DAGWOODS DINER & MORE,SALT SPRING ISLAND,UPISLAND
DAK-CA,DAK-CAFE RESTAURANT dba,VICTORIA,TOWN
DANMKT,DANIEL'S MARKET dba,SOOKE,TOWN
DARCYC,DARCY GALLANT CASH SALE ACCOUNT,,LOOKUP
DARGFUN,DARCY GALLANT FUNDRAISER,,LOOKUP
DARPRO,DARCY GALLANT PROMO ACCOUNT,,LOOKUP
PAGECA,DARCY PAGE CASH SALE ACCOUNT,,LOOKUP
PAGEPR,DARCY PAGE PROMO ACCOUNT,,LOOKUP
DARMAR,DARREN'S MARGIN CORRECTIONS,,LOOKUP
DE'LISH,DE'LISH FINE FOODS & CATERING,VICTORIA,TOWN
DEEPCO,DEEP COVE CHALET,SIDNEY,TOWN
DEEPCV,DEEP COVE MARKET,NORTH SAANICH,TOWN
DELIP,DELICIOUS PIZZA & PASTA,VICTORIA,TOWN
OCEANT,DELTA OCEAN POINTE RESORT,VICTORIA,TOWN
DENNYS,DENNY SETO'S WOK & GRILL,PORT HARDY,FREIGHT
